DateTime.EST,Depth.cm,SoilMoisture.cm3cm3,CO2.percent,N2O.ppm
1999-12-09,10,-99999,0.74,0.7
1999-12-09,25,-99999,1.49,1.29
1999-12-09,30,0.337,-99999,-99999
1999-12-09,50,0.217,1.96,1.85
1999-12-09,100,0.212,1.96,0.54
1999-12-09,200,0.247,2.65,0.7
1999-12-09,300,0.201,2.81,0.68
1999-12-09,400,0.245,-99999,-99999
1999-12-09,500,0.273,-99999,-99999
1999-12-09,600,0.329,-99999,-99999
1999-12-09,700,0.348,4.28,0.58
1999-12-09,800,0.256,-99999,-99999
1999-12-09,900,0.239,-99999,-99999
1999-12-09,1000,0.313,-99999,-99999
1999-12-09,1100,0.391,10.23,0.84
2000-04-02,10,-99999,-99999,1.91
2000-04-02,25,-99999,-99999,1.55
2000-04-02,30,-99999,-99999,-99999
2000-04-02,50,-99999,-99999,1.82
2000-04-02,100,-99999,-99999,0.91
2000-04-02,200,-99999,-99999,1.21
2000-04-02,300,-99999,-99999,1.04
2000-04-02,400,-99999,-99999,-99999
2000-04-02,500,-99999,-99999,-99999
2000-04-02,600,-99999,-99999,-99999
2000-04-02,700,-99999,-99999,0.7
2000-04-02,800,-99999,-99999,-99999
2000-04-02,900,-99999,-99999,-99999
2000-04-02,1000,-99999,-99999,-99999
2000-04-02,1100,-99999,-99999,0.53
2000-07-08,10,-99999,0.8,0.66
2000-07-08,25,-99999,0.9,0.84
2000-07-08,30,0.201,-99999,-99999
2000-07-08,50,0.201,0.6,0.75
2000-07-08,100,0.252,1.14,0.74
2000-07-08,200,0.253,1.85,1.18
2000-07-08,300,0.245,1.97,0.94
2000-07-08,400,0.225,-99999,-99999
2000-07-08,500,0.354,-99999,-99999
2000-07-08,600,0.398,-99999,-99999
2000-07-08,700,0.385,2.46,0.81
2000-07-08,800,0.365,-99999,-99999
2000-07-08,900,0.413,-99999,-99999
2000-07-08,1000,0.408,-99999,-99999
2000-07-08,1100,0.407,4.17,0.68
2000-09-04,10,-99999,0.48,0.37
2000-09-04,25,-99999,1.18,0.4
2000-09-04,30,0.358,-99999,-99999
2000-09-04,50,0.233,1.44,0.44
2000-09-04,100,0.246,1.64,0.63
2000-09-04,200,0.247,2.46,0.63
2000-09-04,300,0.234,2.78,0.69
2000-09-04,400,0.261,-99999,-99999
2000-09-04,500,0.354,-99999,-99999
2000-09-04,600,0.416,-99999,-99999
2000-09-04,700,0.394,5.12,0.93
2000-09-04,800,0.37,-99999,-99999
2000-09-04,900,0.415,-99999,-99999
2000-09-04,1000,0.408,-99999,-99999
2000-09-04,1100,0.406,7.54,0.95
2000-11-26,10,-99999,1.23,0.44
2000-11-26,25,-99999,0.83,0.38
2000-11-26,30,0.323,-99999,-99999
2000-11-26,50,0.262,0.61,0.42
2000-11-26,100,0.318,2.53,0.69
2000-11-26,200,0.243,3.52,0.71
2000-11-26,300,0.228,3.07,0.62
2000-11-26,400,0.223,-99999,-99999
2000-11-26,500,0.341,-99999,-99999
2000-11-26,600,0.406,-99999,-99999
2000-11-26,700,0.366,7.09,0.78
2000-11-26,800,0.412,-99999,-99999
2000-11-26,900,0.323,-99999,-99999
2000-11-26,1000,0.406,-99999,-99999
2000-11-26,1100,0.404,9.24,0.99
2001-02-10,10,-99999,0.59,0.58
2001-02-10,25,-99999,0.92,0.58
2001-02-10,30,0.339,-99999,-99999
2001-02-10,50,0.257,0.6,0.57
2001-02-10,100,0.297,1.08,0.65
2001-02-10,200,0.25,1.46,0.7
2001-02-10,300,0.228,1.58,0.74
2001-02-10,400,0.217,-99999,-99999
2001-02-10,500,0.342,-99999,-99999
2001-02-10,600,0.369,-99999,-99999
2001-02-10,700,0.386,2.64,0.66
2001-02-10,800,0.369,-99999,-99999
2001-02-10,900,0.409,-99999,-99999
2001-02-10,1000,0.404,-99999,-99999
2001-02-10,1100,0.406,2.79,0.99
2001-04-09,10,-99999,0.77,0.84
2001-04-09,25,-99999,1.09,1.01
2001-04-09,30,0.352,-99999,-99999
2001-04-09,50,0.237,1.27,1.06
2001-04-09,100,0.274,1.1,0.71
2001-04-09,200,0.228,0.68,0.44
2001-04-09,300,0.214,0.83,0.6
2001-04-09,400,0.254,-99999,-99999
2001-04-09,500,0.334,-99999,-99999
2001-04-09,600,0.369,-99999,-99999
2001-04-09,700,0.376,1.92,0.49
2001-04-09,800,0.365,-99999,-99999
2001-04-09,900,0.406,-99999,-99999
2001-04-09,1000,0.396,-99999,-99999
2001-04-09,1100,0.397,4.46,0.87
2001-07-17,10,-99999,0.45,0.37
2001-07-17,25,-99999,0.84,0.41
2001-07-17,30,0.288,-99999,-99999
2001-07-17,50,0.236,1.12,0.46
2001-07-17,100,0.264,1.0,0.45
2001-07-17,200,0.227,1.7,0.58
2001-07-17,300,0.253,1.99,0.66
2001-07-17,400,0.272,-99999,-99999
2001-07-17,500,0.331,-99999,-99999
2001-07-17,600,0.398,-99999,-99999
2001-07-17,700,0.374,3.4,0.74
2001-07-17,800,0.36,-99999,-99999
2001-07-17,900,0.398,-99999,-99999
2001-07-17,1000,0.393,-99999,-99999
2001-07-17,1100,0.288,3.33,0.75
2001-09-25,10,-99999,0.39,0.41
2001-09-25,25,-99999,0.72,0.48
2001-09-25,30,0.253,-99999,-99999
2001-09-25,50,0.22,1.12,0.52
2001-09-25,100,0.258,0.76,0.44
2001-09-25,200,0.217,1.67,0.45
2001-09-25,300,0.21,1.93,0.55
2001-09-25,400,0.245,-99999,-99999
2001-09-25,500,0.322,-99999,-99999
2001-09-25,600,0.394,-99999,-99999
2001-09-25,700,0.359,2.7,0.6
2001-09-25,800,0.353,-99999,-99999
2001-09-25,900,0.386,-99999,-99999
2001-09-25,1000,0.377,-99999,-99999
2001-09-25,1100,0.376,5.99,1.13
2001-11-14,10,-99999,-99999,0.31
2001-11-14,25,-99999,-99999,0.32
2001-11-14,30,0.225,-99999,-99999
2001-11-14,50,0.211,-99999,0.32
2001-11-14,100,0.241,-99999,0.36
2001-11-14,200,0.211,-99999,0.39
2001-11-14,300,0.186,-99999,0.4
2001-11-14,400,0.234,-99999,-99999
2001-11-14,500,0.314,-99999,-99999
2001-11-14,600,0.38,-99999,-99999
2001-11-14,700,0.353,-99999,1.12
2001-11-14,800,0.345,-99999,-99999
2001-11-14,900,0.368,-99999,-99999
2001-11-14,1000,0.357,-99999,-99999
2001-11-14,1100,0.363,-99999,0.52
2002-02-21,10,-99999,0.45,0.4
2002-02-21,25,-99999,0.71,0.4
2002-02-21,30,0.284,-99999,-99999
2002-02-21,50,0.232,0.89,0.42
2002-02-21,100,0.263,0.96,0.89
2002-02-21,200,0.224,1.29,0.54
2002-02-21,300,0.207,1.35,0.51
2002-02-21,400,0.241,-99999,-99999
2002-02-21,500,0.314,-99999,-99999
2002-02-21,600,0.386,-99999,-99999
2002-02-21,700,0.348,3.33,0.66
2002-02-21,800,0.351,-99999,-99999
2002-02-21,900,0.368,-99999,-99999
2002-02-21,1000,0.355,-99999,-99999
2002-02-21,1100,0.363,5.97,1.01
2002-04-17,10,-99999,0.49,0.4
2002-04-17,25,-99999,0.74,0.45
2002-04-17,30,0.317,-99999,-99999
2002-04-17,50,0.247,0.89,0.49
2002-04-17,100,0.281,1.04,0.85
2002-04-17,200,0.221,1.21,0.63
2002-04-17,300,0.201,1.21,0.59
2002-04-17,400,0.24,-99999,-99999
2002-04-17,500,0.314,-99999,-99999
2002-04-17,600,0.386,-99999,-99999
2002-04-17,700,0.352,2.1,0.53
2002-04-17,800,0.351,-99999,-99999
2002-04-17,900,0.371,-99999,-99999
2002-04-17,1000,0.36,-99999,-99999
2002-04-17,1100,0.36,4.37,0.92
2002-06-14,10,-99999,0.32,0.33
2002-06-14,25,-99999,0.47,0.34
2002-06-14,30,0.235,-99999,-99999
2002-06-14,50,0.227,0.62,0.38
2002-06-14,100,0.258,0.86,0.65
2002-06-14,200,0.213,0.87,0.55
2002-06-14,300,0.212,1.01,0.53
2002-06-14,400,0.238,-99999,-99999
2002-06-14,500,0.312,-99999,-99999
2002-06-14,600,0.389,-99999,-99999
2002-06-14,700,0.355,1.04,0.38
2002-06-14,800,0.353,-99999,-99999
2002-06-14,900,0.372,-99999,-99999
2002-06-14,1000,0.362,-99999,-99999
2002-06-14,1100,0.362,1.81,0.44
