File name:,REE_soil_gases_1999_2002.csv,,,,,
20010925,4,control,500,0.395,-9999,-9999
20010925,4,control,600,0.422,-9999,-9999
20010925,4,control,700,0.439,4.39,1.39
20010925,4,control,800,0.451,-9999,-9999
20010925,4,control,900,0.433,-9999,-9999
20010925,4,control,1000,0.434,-9999,-9999
20010925,4,control,1100,0.437,6.13,0.84
20010925,5,control,10,-9999,0.27,0.39
20010925,5,control,25,-9999,1.02,0.52
20010925,5,control,30,0.319,-9999,-9999
20010925,5,control,50,0.324,1.28,0.58
20010925,5,control,100,0.278,1.55,0.56
20010925,5,control,200,0.236,2.07,0.59
20010925,5,control,300,0.288,2.43,0.78
20010925,5,control,400,0.361,-9999,-9999
20010925,5,control,500,0.396,-9999,-9999
20010925,5,control,600,0.4,-9999,-9999
20010925,5,control,700,0.429,3.78,1.17
20010925,5,control,800,0.38,-9999,-9999
20010925,5,control,900,0.439,-9999,-9999
20010925,5,control,1000,0.434,-9999,-9999
20010925,5,control,1100,0.425,5.74,1.22
20010925,6,control,10,-9999,0.43,0.44
20010925,6,control,25,-9999,0.73,0.46
20010925,6,control,30,0.289,-9999,-9999
20010925,6,control,50,0.235,1.06,0.51
20010925,6,control,100,0.309,1.44,0.46
20010925,6,control,200,0.307,2.35,0.72
20010925,6,control,300,0.29,1.24,0.57
20010925,6,control,400,0.362,-9999,-9999
20010925,6,control,500,0.415,-9999,-9999
20010925,6,control,600,0.417,-9999,-9999
20010925,6,control,700,0.423,3.03,0.91
20010925,6,control,800,0.416,-9999,-9999
20010925,6,control,900,0.375,-9999,-9999
20010925,6,control,1000,0.401,-9999,-9999
20010925,6,control,1100,0.399,7.19,1.21
20011114,1,exclusion,10,-9999,-9999,0.31
20011114,1,exclusion,25,-9999,-9999,0.32
20011114,1,exclusion,30,0.225,-9999,-9999
20011114,1,exclusion,50,0.211,-9999,0.32
20011114,1,exclusion,100,0.241,-9999,0.36
20011114,1,exclusion,200,0.211,-9999,0.39
20011114,1,exclusion,300,0.186,-9999,0.4
20011114,1,exclusion,400,0.234,-9999,-9999
20011114,1,exclusion,500,0.314,-9999,-9999
20011114,1,exclusion,600,0.38,-9999,-9999
20011114,1,exclusion,700,0.353,-9999,1.12
20011114,1,exclusion,800,0.345,-9999,-9999
20011114,1,exclusion,900,0.368,-9999,-9999
20011114,1,exclusion,1000,0.357,-9999,-9999
20011114,1,exclusion,1100,0.363,-9999,0.52
20011114,2,exclusion,10,-9999,-9999,0.33
20011114,2,exclusion,25,-9999,-9999,0.34
20011114,2,exclusion,30,0.206,-9999,-9999
20011114,2,exclusion,50,0.225,-9999,0.39
20011114,2,exclusion,100,0.277,-9999,0.42
20011114,2,exclusion,200,0.271,-9999,0.46
20011114,2,exclusion,300,0.298,-9999,0.49
20011114,2,exclusion,400,0.337,-9999,-9999
20011114,2,exclusion,500,0.331,-9999,-9999
20011114,2,exclusion,600,0.401,-9999,-9999
20011114,2,exclusion,700,0.384,-9999,0.95
20011114,2,exclusion,800,0.388,-9999,-9999
20011114,2,exclusion,900,0.384,-9999,-9999
20011114,2,exclusion,1000,0.365,-9999,-9999
20011114,2,exclusion,1100,0.369,-9999,0.56
20011114,3,exclusion,10,-9999,-9999,0.36
20011114,3,exclusion,25,-9999,-9999,0.38
20011114,3,exclusion,30,0.198,-9999,-9999
20011114,3,exclusion,50,0.13,-9999,0.45
20011114,3,exclusion,100,0.276,-9999,0.52
20011114,3,exclusion,200,0.245,-9999,0.52
20011114,3,exclusion,300,0.291,-9999,0.54
20011114,3,exclusion,400,0.304,-9999,-9999
20011114,3,exclusion,500,0.343,-9999,-9999
20011114,3,exclusion,600,0.374,-9999,-9999
20011114,3,exclusion,700,0.409,-9999,0.7
20011114,3,exclusion,800,0.386,-9999,-9999
20011114,3,exclusion,900,0.393,-9999,-9999
20011114,3,exclusion,1000,0.343,-9999,-9999
20011114,3,exclusion,1100,0.35,-9999,1.04
20011114,4,control,10,-9999,-9999,0.41
20011114,4,control,25,-9999,-9999,0.43
20011114,4,control,30,0.252,-9999,-9999
20011114,4,control,50,0.249,-9999,0.45
20011114,4,control,100,0.224,-9999,0.48
20011114,4,control,200,0.253,-9999,0.56
20011114,4,control,300,0.298,-9999,0.6
20011114,4,control,400,0.33,-9999,-9999
20011114,4,control,500,0.368,-9999,-9999
20011114,4,control,600,0.402,-9999,-9999
20011114,4,control,700,0.425,-9999,0.96
20011114,4,control,800,0.445,-9999,-9999
20011114,4,control,900,0.42,-9999,-9999
20011114,4,control,1000,0.424,-9999,-9999
20011114,4,control,1100,0.426,-9999,0.85
20011114,5,control,10,-9999,-9999,0.39
20011114,5,control,25,-9999,-9999,0.44
20011114,5,control,30,0.271,-9999,-9999
20011114,5,control,50,0.276,-9999,0.47
20011114,5,control,100,0.239,-9999,0.47
20011114,5,control,200,0.205,-9999,0.49
20011114,5,control,300,0.26,-9999,0.6
20011114,5,control,400,0.32,-9999,-9999
20011114,5,control,500,0.37,-9999,-9999
20011114,5,control,600,0.379,-9999,-9999
20011114,5,control,700,0.412,-9999,0.93
20011114,5,control,800,0.362,-9999,-9999
20011114,5,control,900,0.414,-9999,-9999
20011114,5,control,1000,0.424,-9999,-9999
20011114,5,control,1100,0.415,-9999,0.71
20011114,6,control,10,-9999,-9999,0.37
20011114,6,control,25,-9999,-9999,0.39
20011114,6,control,30,0.249,-9999,-9999
20011114,6,control,50,0.195,-9999,0.43
20011114,6,control,100,0.267,-9999,0.46
20011114,6,control,200,0.258,-9999,0.54
20011114,6,control,300,0.258,-9999,0.48
20011114,6,control,400,0.336,-9999,-9999
20011114,6,control,500,0.392,-9999,-9999
20011114,6,control,600,0.394,-9999,-9999
20011114,6,control,700,0.403,-9999,0.79
20011114,6,control,800,0.397,-9999,-9999
20011114,6,control,900,0.358,-9999,-9999
20011114,6,control,1000,0.384,-9999,-9999
20011114,6,control,1100,0.38,-9999,1.16
20020221,1,exclusion,10,-9999,0.45,0.4
20020221,1,exclusion,25,-9999,0.71,0.4
20020221,1,exclusion,30,0.284,-9999,-9999
20020221,1,exclusion,50,0.232,0.89,0.42
20020221,1,exclusion,100,0.263,0.96,0.89
20020221,1,exclusion,200,0.224,1.29,0.54
20020221,1,exclusion,300,0.207,1.35,0.51
20020221,1,exclusion,400,0.241,-9999,-9999
20020221,1,exclusion,500,0.314,-9999,-9999
20020221,1,exclusion,600,0.386,-9999,-9999
20020221,1,exclusion,700,0.348,3.33,0.66
20020221,1,exclusion,800,0.351,-9999,-9999
20020221,1,exclusion,900,0.368,-9999,-9999
20020221,1,exclusion,1000,0.355,-9999,-9999
20020221,1,exclusion,1100,0.363,5.97,1.01
20020221,2,exclusion,10,-9999,0.38,0.56
20020221,2,exclusion,25,-9999,0.57,0.63
20020221,2,exclusion,30,0.256,-9999,-9999
20020221,2,exclusion,50,0.253,0.9,0.78
20020221,2,exclusion,100,0.283,1.03,0.71
20020221,2,exclusion,200,0.272,1.01,0.54
20020221,2,exclusion,300,0.296,1.21,0.52
20020221,2,exclusion,400,0.338,-9999,-9999
20020221,2,exclusion,500,0.335,-9999,-9999
20020221,2,exclusion,600,0.401,-9999,-9999
20020221,2,exclusion,700,0.385,1.38,0.51
20020221,2,exclusion,800,0.387,-9999,-9999
20020221,2,exclusion,900,0.381,-9999,-9999
20020221,2,exclusion,1000,0.366,-9999,-9999
20020221,2,exclusion,1100,0.363,5.65,1
20020221,3,exclusion,10,-9999,0.25,0.45
20020221,3,exclusion,25,-9999,0.38,0.51
20020221,3,exclusion,30,0.321,-9999,-9999
20020221,3,exclusion,50,0.188,0.56,0.58
20020221,3,exclusion,100,0.279,0.7,0.51
20020221,3,exclusion,200,0.247,0.8,0.57
20020221,3,exclusion,300,0.286,0.92,0.53
20020221,3,exclusion,400,0.289,-9999,-9999
20020221,3,exclusion,500,0.341,-9999,-9999
20020221,3,exclusion,600,0.374,-9999,-9999
20020221,3,exclusion,700,0.41,2.29,0.63
20020221,3,exclusion,800,0.385,-9999,-9999
20020221,3,exclusion,900,0.394,-9999,-9999
20020221,3,exclusion,1000,0.344,-9999,-9999
20020221,3,exclusion,1100,0.351,5,1.06
20020221,4,control,10,-9999,0.6,0.98
20020221,4,control,25,-9999,0.84,1.02
20020221,4,control,30,0.407,-9999,-9999
20020221,4,control,50,0.336,1.18,1.68
20020221,4,control,100,0.301,1.23,1.78
20020221,4,control,200,0.301,1.1,1.51
20020221,4,control,300,0.343,1.02,1.39
20020221,4,control,400,0.325,-9999,-9999
20020221,4,control,500,0.355,-9999,-9999
20020221,4,control,600,0.395,-9999,-9999
20020221,4,control,700,0.416,2.73,0.95
20020221,4,control,800,0.434,-9999,-9999
20020221,4,control,900,0.406,-9999,-9999
20020221,4,control,1000,0.414,-9999,-9999
20020221,4,control,1100,0.416,3.07,0.84
20020221,5,control,10,-9999,-9999,0.55
20020221,5,control,25,-9999,0.56,0.76
20020221,5,control,30,0.431,-9999,-9999
20020221,5,control,50,0.385,0.98,0.66
20020221,5,control,100,0.322,0.85,0.81
20020221,5,control,200,0.267,1.56,1
20020221,5,control,300,0.296,1.8,0.73
20020221,5,control,400,0.335,-9999,-9999
20020221,5,control,500,0.353,-9999,-9999
20020221,5,control,600,0.369,-9999,-9999
20020221,5,control,700,0.392,3,0.84
20020221,5,control,800,0.354,-9999,-9999
20020221,5,control,900,0.4,-9999,-9999
20020221,5,control,1000,0.41,-9999,-9999
20020221,5,control,1100,0.399,5.62,1.01
20020221,6,control,10,-9999,0.37,0.68
20020221,6,control,25,-9999,0.72,0.76
20020221,6,control,30,0.421,-9999,-9999
20020221,6,control,50,0.292,0.69,0.74
20020221,6,control,100,0.345,1.3,0.97
20020221,6,control,200,0.335,2.51,1.02
20020221,6,control,300,0.309,0.95,0.56
20020221,6,control,400,0.33,-9999,-9999
20020221,6,control,500,0.37,-9999,-9999
20020221,6,control,600,0.383,-9999,-9999
20020221,6,control,700,0.396,1.74,0.71
20020221,6,control,800,0.39,-9999,-9999
20020221,6,control,900,0.353,-9999,-9999
20020221,6,control,1000,0.377,-9999,-9999
20020221,6,control,1100,0.374,6.98,1.31
20020417,1,exclusion,10,-9999,0.49,0.4
20020417,1,exclusion,25,-9999,0.74,0.45
20020417,1,exclusion,30,0.317,-9999,-9999
20020417,1,exclusion,50,0.247,0.89,0.49
20020417,1,exclusion,100,0.281,1.04,0.85
20020417,1,exclusion,200,0.221,1.21,0.63
20020417,1,exclusion,300,0.201,1.21,0.59
20020417,1,exclusion,400,0.24,-9999,-9999
20020417,1,exclusion,500,0.314,-9999,-9999
20020417,1,exclusion,600,0.386,-9999,-9999
20020417,1,exclusion,700,0.352,2.1,0.53
20020417,1,exclusion,800,0.351,-9999,-9999
20020417,1,exclusion,900,0.371,-9999,-9999
20020417,1,exclusion,1000,0.36,-9999,-9999
20020417,1,exclusion,1100,0.36,4.37,0.92
20020417,2,exclusion,10,-9999,0.24,0.45
20020417,2,exclusion,25,-9999,0.48,0.48
20020417,2,exclusion,30,0.264,-9999,-9999
20020417,2,exclusion,50,0.271,1.3,0.96
20020417,2,exclusion,100,0.289,0.78,0.59
20020417,2,exclusion,200,0.275,1.11,0.73
20020417,2,exclusion,300,0.294,1.43,0.71
20020417,2,exclusion,400,0.34,-9999,-9999
20020417,2,exclusion,500,0.335,-9999,-9999
20020417,2,exclusion,600,0.402,-9999,-9999
20020417,2,exclusion,700,0.383,2.68,0.58
20020417,2,exclusion,800,0.391,-9999,-9999
20020417,2,exclusion,900,0.38,-9999,-9999
20020417,2,exclusion,1000,0.365,-9999,-9999
20020417,2,exclusion,1100,0.364,5.18,0.79
20020417,3,exclusion,10,-9999,0.26,0.72
20020417,3,exclusion,25,-9999,0.37,1.13
20020417,3,exclusion,30,0.317,-9999,-9999
20020417,3,exclusion,50,0.223,0.57,0.98
20020417,3,exclusion,100,0.317,0.81,0.94
20020417,3,exclusion,200,0.25,0.84,0.76
20020417,3,exclusion,300,0.289,0.84,0.68
20020417,3,exclusion,400,0.296,-9999,-9999
20020417,3,exclusion,500,0.343,-9999,-9999
20020417,3,exclusion,600,0.376,-9999,-9999
20020417,3,exclusion,700,0.411,1.83,0.63
20020417,3,exclusion,800,0.387,-9999,-9999
20020417,3,exclusion,900,0.395,-9999,-9999
20020417,3,exclusion,1000,0.346,-9999,-9999
20020417,3,exclusion,1100,0.35,4.11,0.98
20020417,4,control,10,-9999,0.64,1.51
20020417,4,control,25,-9999,0.31,1.22
20020417,4,control,30,0.403,-9999,-9999
20020417,4,control,50,0.339,0.19,1
20020417,4,control,100,0.312,0.36,0.64
20020417,4,control,200,0.311,0.42,3.72
20020417,4,control,300,0.357,0.32,2.5
20020417,4,control,400,0.375,-9999,-9999
20020417,4,control,500,0.403,-9999,-9999
20020417,4,control,600,0.425,-9999,-9999
20020417,4,control,700,0.439,0.71,1.02
20020417,4,control,800,0.451,-9999,-9999
20020417,4,control,900,0.418,-9999,-9999
20020417,4,control,1000,0.414,-9999,-9999
20020417,4,control,1100,0.415,3.02,1.22
20020417,5,control,10,-9999,0.44,1.02
20020417,5,control,25,-9999,0.47,0.99
20020417,5,control,30,0.425,-9999,-9999
20020417,5,control,50,0.385,0.23,0.62
20020417,5,control,100,0.326,0.68,2.23
20020417,5,control,200,0.287,0.81,1.24
20020417,5,control,300,0.31,0.77,1.6
20020417,5,control,400,0.358,-9999,-9999
20020417,5,control,500,0.399,-9999,-9999
20020417,5,control,600,0.403,-9999,-9999
20020417,5,control,700,0.42,1,0.94
20020417,5,control,800,0.382,-9999,-9999
20020417,5,control,900,0.429,-9999,-9999
20020417,5,control,1000,0.433,-9999,-9999
20020417,5,control,1100,0.41,1.8,1.3
20020417,6,control,10,-9999,0.57,1.18
20020417,6,control,25,-9999,0.49,0.98
20020417,6,control,30,0.41,-9999,-9999
20020417,6,control,50,0.299,0.4,0.99
20020417,6,control,100,0.362,0.86,1.45
20020417,6,control,200,0.355,-9999,-9999
20020417,6,control,300,0.335,-9999,-9999
20020417,6,control,400,0.377,-9999,-9999
20020417,6,control,500,0.426,-9999,-9999
20020417,6,control,600,0.425,-9999,-9999
20020417,6,control,700,0.428,-9999,-9999
20020417,6,control,800,0.413,-9999,-9999
20020417,6,control,900,0.378,-9999,-9999
20020417,6,control,1000,0.378,-9999,-9999
20020417,6,control,1100,0.375,-9999,-9999
20020614,1,exclusion,10,-9999,0.32,0.33
20020614,1,exclusion,25,-9999,0.47,0.34
20020614,1,exclusion,30,0.235,-9999,-9999
20020614,1,exclusion,50,0.227,0.62,0.38
20020614,1,exclusion,100,0.258,0.86,0.65
20020614,1,exclusion,200,0.213,0.87,0.55
20020614,1,exclusion,300,0.212,1.01,0.53
20020614,1,exclusion,400,0.238,-9999,-9999
20020614,1,exclusion,500,0.312,-9999,-9999
20020614,1,exclusion,600,0.389,-9999,-9999
20020614,1,exclusion,700,0.355,1.04,0.38
20020614,1,exclusion,800,0.353,-9999,-9999
20020614,1,exclusion,900,0.372,-9999,-9999
20020614,1,exclusion,1000,0.362,-9999,-9999
20020614,1,exclusion,1100,0.362,1.81,0.44
20020614,2,exclusion,10,-9999,0.2,0.35
20020614,2,exclusion,25,-9999,0.42,0.4
20020614,2,exclusion,30,0.201,-9999,-9999
20020614,2,exclusion,50,0.235,0.64,0.47
20020614,2,exclusion,100,0.284,0.6,0.45
20020614,2,exclusion,200,0.278,1.18,0.61
20020614,2,exclusion,300,0.295,0.85,0.48
20020614,2,exclusion,400,0.341,-9999,-9999
20020614,2,exclusion,500,0.337,-9999,-9999
20020614,2,exclusion,600,0.401,-9999,-9999
20020614,2,exclusion,700,0.388,1.91,0.45
20020614,2,exclusion,800,0.39,-9999,-9999
20020614,2,exclusion,900,0.38,-9999,-9999
20020614,2,exclusion,1000,0.366,-9999,-9999
20020614,2,exclusion,1100,0.365,2.82,0.45
20020614,3,exclusion,10,-9999,0.33,0.43
20020614,3,exclusion,25,-9999,0.37,0.5
20020614,3,exclusion,30,0.232,-9999,-9999
20020614,3,exclusion,50,0.181,0.66,0.57
20020614,3,exclusion,100,0.28,1.07,0.6
20020614,3,exclusion,200,0.253,1.32,0.55
20020614,3,exclusion,300,0.302,0.98,0.53
20020614,3,exclusion,400,0.304,-9999,-9999
20020614,3,exclusion,500,0.342,-9999,-9999
20020614,3,exclusion,600,0.381,-9999,-9999
20020614,3,exclusion,700,0.413,2.92,0.57
20020614,3,exclusion,800,0.385,-9999,-9999
20020614,3,exclusion,900,0.396,-9999,-9999
20020614,3,exclusion,1000,0.35,-9999,-9999
20020614,3,exclusion,1100,0.354,3.93,0.56
20020614,4,control,10,-9999,1.05,0.65
20020614,4,control,25,-9999,0.99,0.57
20020614,4,control,30,0.352,-9999,-9999
20020614,4,control,50,0.307,1.53,0.81
20020614,4,control,100,0.279,2.11,2.34
20020614,4,control,200,0.294,2.11,3.08
20020614,4,control,300,0.339,2.3,2.42
20020614,4,control,400,0.364,-9999,-9999
20020614,4,control,500,0.391,-9999,-9999
20020614,4,control,600,0.423,-9999,-9999
20020614,4,control,700,0.437,2.46,0.84
20020614,4,control,800,0.449,-9999,-9999
20020614,4,control,900,0.434,-9999,-9999
20020614,4,control,1000,0.436,-9999,-9999
20020614,4,control,1100,0.436,2.06,0.45
20020614,5,control,10,-9999,1.18,0.63
20020614,5,control,25,-9999,1.08,0.58
20020614,5,control,30,0.352,-9999,-9999
20020614,5,control,50,0.35,0.4,0.43
20020614,5,control,100,0.296,1.88,1.29
20020614,5,control,200,0.257,1.83,0.82
20020614,5,control,300,0.289,1.86,1.23
20020614,5,control,400,0.354,-9999,-9999
20020614,5,control,500,0.391,-9999,-9999
20020614,5,control,600,0.397,-9999,-9999
20020614,5,control,700,0.417,1.94,0.65
20020614,5,control,800,0.404,-9999,-9999
20020614,5,control,900,0.424,-9999,-9999
20020614,5,control,1000,0.433,-9999,-9999
20020614,5,control,1100,0.421,0.8,0.38
20020614,6,control,10,-9999,0.1,0.39
20020614,6,control,25,-9999,0.6,0.54
20020614,6,control,30,0.342,-9999,-9999
20020614,6,control,50,0.254,1.56,0.85
20020614,6,control,100,0.322,1.2,0.64
20020614,6,control,200,0.332,2.84,1.4
20020614,6,control,300,0.312,0.99,0.58
20020614,6,control,400,0.367,-9999,-9999
20020614,6,control,500,0.415,-9999,-9999
20020614,6,control,600,0.419,-9999,-9999
20020614,6,control,700,0.428,1.94,0.78
20020614,6,control,800,0.425,-9999,-9999
20020614,6,control,900,0.388,-9999,-9999
20020614,6,control,1000,0.412,-9999,-9999
20020614,6,control,1100,0.409,5.67,0.6
